Data;Descrição;Valor
02/04/2026;Salário;5200,00
03/04/2026;Mercado;-312,45
04/04/2026;Farmácia;-78,90
05/04/2026;Uber;-22,50
06/04/2026;Internet;-99,90
07/04/2026;Restaurante;-145,70
08/04/2026;Cinema;-39,90
10/04/2026;Aluguel;-1850,00
12/04/2026;Café;-12,00
15/04/2026;Mercado;-280,30
18/04/2026;Presente;-120,00
20/04/2026;Cashback;18,90
22/04/2026;Pizza;-69,90
25/04/2026;Estacionamento;-25,00
28/04/2026;Padaria;-16,80
02/05/2026;Salário;5500,00
03/05/2026;Mercado;-340,10
04/05/2026;Farmácia;-63,40
05/05/2026;Uber;-19,90
06/05/2026;Internet;-99,90
07/05/2026;Restaurante;-158,20
08/05/2026;Cinema;-42,00
10/05/2026;Aluguel;-1850,00
11/05/2026;Streaming;-45,90
13/05/2026;Mercado;-295,75
15/05/2026;Gasolina;-120,00
17/05/2026;Café;-14,50
20/05/2026;Cashback;22,10
22/05/2026;Pizza;-75,90
25/05/2026;Estacionamento;-27,00
28/05/2026;Padaria;-18,20
02/06/2026;Salário;5600,00
03/06/2026;Mercado;-355,60
04/06/2026;Farmácia;-81,30
05/06/2026;Uber;-24,70
06/06/2026;Internet;-99,90
07/06/2026;Restaurante;-166,80
08/06/2026;Cinema;-38,00
10/06/2026;Aluguel;-1850,00
11/06/2026;Streaming;-45,90
13/06/2026;Mercado;-310,25
15/06/2026;Gasolina;-135,00
17/06/2026;Café;-13,90
20/06/2026;Cashback;19,70
22/06/2026;Pizza;-72,50
25/06/2026;Estacionamento;-26,00
28/06/2026;Padaria;-17,40
